Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
3/11/2017, JOSE ENRIQUE RODO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 23, CANELONES, SANTA LUCIA, 1, 554965, 6186845 
28/4/2017, NUBLE GONZALEZ OLAZA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 13, MALDONADO, SAN CARLOS, 1, 689980, 6149065 
16/6/2017, VIERA Y BENAVIDEZ, CAÍDA, LEVE, VIERNES, 18, SORIANO, MERCEDES, 1, 403795, 6318870 
29/10/2017, GRITO DE ASENCIO, CAÍDA, SIN LESIONADOS, DOMINGO, 19, SALTO, SALTO, 1, 408500, 6528910 
16/4/2017, ABREVADERO, CAÍDA, LEVE, DOMINGO, 0, CANELONES, SIN DATOS, 1, 585510, 6157640 
3/9/2017, CAMINO 19 DE ABRIL, DESPISTE, LEVE, DOMINGO, 17, ARTIGAS, SIN DATOS, 1, 545900, 6637440 
9/7/2017, CAMINO LA CABRA, CAÍDA, LEVE, DOMINGO, 18, MONTEVIDEO, SIN DATOS, 1, 579240, 6152795 
18/2/2018, AVENIDA MANUEL ORIBE, CAÍDA, LEVE, DOMINGO, 8, RIVERA, RIVERA, 1, 639565, 6578770 
25/2/2018, RUTA 42, CAÍDA, GRAVE, DOMINGO, 16, DURAZNO, SIN DATOS, 1, 637840, 6365925 
10/12/2017, RUTA 6 KM 200, CAÍDA, GRAVE, DOMINGO, 15, DURAZNO, SIN DATOS, 1, 628575, 6309670 
5/11/2017, NO SE INGRESO, DESPISTE, LEVE, DOMINGO, 11, CANELONES, SIN DATOS, 1, 593120, 6174490 
23/7/2017, PAYSANDU, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 10, RIVERA, RIVERA, 1, 637985, 6581930 
30/4/2017, INTENDENTE ORESTES LANZA, CAÍDA, LEVE, DOMINGO, 23, SALTO, SALTO, 1, 408115, 6525445 
